Event.Id,text_cluster
20100722X43425,3
20010910X01909,0
20010830X01831,2
20001213X29760,4
20010529X01021,1
20001214X42297,4
20001212X22620,5
20070803X01096,0
20020917X03168,0
20111020X14740,1
20120430X05437,3
20050412X00443,1
20001214X43457,4
20001214X41637,1
20001213X32472,1
20001212X20858,0
20111003X44902,3
20001214X39331,1
20001214X44190,4
20070522X00614,0
20050315X00315,3
20001213X28198,1
20140602X83649,1
20001212X20496,0
20001214X45315,5
20020917X04423,1
20001211X12056,3
20001214X38974,1
20001208X05543,1
20001212X18291,1
20001213X32174,4
20060607X00713,1
20071011X01539,0
20001218X45432,3
20001207X03731,1
20001211X14440,1
20030722X01163,1
20001213X27293,4
20001213X30371,0
20001211X14542,3
20120727X80121,1
20001212X16657,4
20001214X44834,4
20070629X00846,3
20110906X02608,1
20001213X28991,1
20110622X41714,1
20020917X03404,0
20001208X08541,3
20001211X12197,0
20001212X24183,3
20001214X42469,1
20121120X65145,1
20071018X01615,3
20010119X00329,1
20001214X37207,4
20020917X01852,1
20001213X33459,4
20001212X16579,3
20020917X05026,1
20070206X00141,3
20140917X62153,3
20001211X15930,0
20001213X26323,1
20150506X44421,3
20030611X00849,1
20001213X34522,1
20001211X13627,5
20001212X16708,3
20001213X33330,4
20001208X06234,3
20121106X00543,3
20030718X01153,3
20001214X40634,1
20001212X20311,0
20001213X26526,3
20001212X17446,3
20001208X08838,2
20001212X16715,1
20001213X29214,0
20001214X35894,3
20060316X00313,1
20120615X63501,3
20001211X10341,1
20010711X01386,1
20010727X01534,3
20001206X01804,3
20001211X15009,3
20001205X00246,2
20001212X22106,2
20020718X01160,3
20011218X02406,1
20060627X00822,3
20140604X80006,3
20090323X93035,5
20080513X00661,1
20030115X00067,0
20001211X14629,1
20001214X38491,4
20101227X20119,1
20010110X00284,4
20001214X36826,4
20001212X18173,0
20011025X02145,1
20080221X00222,1
20060324X00342,3
20040122X00093,3
20001211X09794,3
20001212X17787,1
20070806X01119,1
20001211X09674,3
20001214X40027,4
20001212X19616,3
20001208X07550,0
20001212X24329,4
20001213X29245,3
20001212X17477,3
20020816X01416,1
20030624X00945,1
20020917X03953,3
20150625X44335,3
20040701X00893,1
20001208X05754,1
20091020X63235,3
20070402X00347,2
20010524X01015,5
20001207X03350,3
20001213X33965,1
20010824X01764,1
20020403X00454,5
20001214X36198,1
20001211X15829,3
20121128X43813,1
20090611X05717,1
20031113X01891,1
20001207X03190,1
20080207X00150,1
20001211X09539,1
20001211X11848,1
20130824X73533,1
20001211X14454,5
20001212X19047,1
20001211X09979,0
20020917X05136,5
20001214X38170,4
20091121X54759,5
20001211X11991,1
20001212X21159,0
20081201X44308,2
20001208X08425,3
20090518X63402,3
20001208X08553,0
20001207X04213,0
20001204X00090,1
20001214X39426,4
